planned_budget,planned_duration,team_size,technical_complexity,stakeholder_count,methodology,project_type,risk_level
1000000,4,32,9,5,Iterative,Mobile App,medium
4000000,6,15,9,5,Agile,Web Development,low
1000000,6,25,9,8,Agile,AI/ML,medium
5000000,4,27,3,15,Agile,Cybersecurity,medium
3000000,4,42,7,5,Agile,AI/ML,high
1000000,4,17,8,18,Spiral,Mobile App,medium
1000000,6,11,8,9,Waterfall,Enterprise Software,medium
1000000,6,15,4,4,Waterfall,Web Development,low
3000000,4,21,1,3,Agile,Enterprise Software,low
3000000,4,6,8,14,Spiral,Blockchain,low
5000000,6,31,7,2,Prototyping,Mobile App,medium
3000000,6,34,8,14,Prototyping,Web Development,medium
3000000,4,17,6,14,Agile,Data Analytics,medium
2000000,4,28,6,10,Agile,Web Development,medium
3000000,6,28,1,18,Spiral,Enterprise Software,medium
4000000,4,16,9,20,Agile,IoT,low
1000000,6,47,10,5,Agile,Data Analytics,high
4000000,6,13,7,7,V-Model,Mobile App,low
1000000,6,37,5,17,Agile,Mobile App,high
4000000,6,8,6,5,Agile,IoT,low
5000000,6,8,3,8,Agile,IoT,low
1000000,6,15,2,12,Iterative,Web Development,low
1000000,6,5,10,9,Iterative,Cybersecurity,low
3000000,4,19,2,13,Agile,Web Development,low
5000000,6,36,1,18,Agile,Enterprise Software,medium
5000000,6,18,1,20,Agile,Mobile App,low
4000000,4,26,9,16,Waterfall,Blockchain,medium
3000000,4,32,1,2,Spiral,Enterprise Software,medium
1000000,6,8,3,7,Waterfall,Enterprise Software,low
4000000,4,21,3,1,Agile,Data Analytics,low
5000000,4,25,5,12,Waterfall,Cloud Migration,medium
5000000,4,9,10,16,Spiral,AI/ML,medium
4000000,6,47,5,7,V-Model,AI/ML,high
2000000,4,48,6,16,Waterfall,IoT,high
2000000,6,13,8,11,Agile,Web Development,medium
4000000,4,19,10,17,V-Model,AI/ML,high
2000000,4,5,9,9,Waterfall,Data Analytics,medium
4000000,6,5,7,20,Waterfall,Cloud Migration,low
5000000,6,40,10,19,Spiral,Data Analytics,high
3000000,6,19,6,12,Agile,IoT,low
2000000,4,13,2,13,Prototyping,Enterprise Software,low
1000000,6,21,9,10,Agile,Web Development,medium
1000000,6,47,9,9,Agile,Enterprise Software,high
1000000,6,49,8,6,Agile,Data Analytics,high
2000000,6,24,7,13,Agile,Mobile App,low
2000000,6,42,7,13,Waterfall,Blockchain,high
1000000,6,23,7,12,Waterfall,Blockchain,high
4000000,4,14,8,17,Iterative,DevOps,low
4000000,4,44,5,19,Agile,Blockchain,high
1000000,4,22,4,4,Agile,DevOps,low
4000000,6,34,7,14,Agile,Blockchain,medium
2000000,4,46,3,9,Agile,AI/ML,high
5000000,6,8,8,3,Spiral,IoT,low
4000000,4,6,2,18,Agile,Blockchain,low
1000000,4,35,4,3,Waterfall,DevOps,high
2000000,6,12,4,16,Agile,Cloud Migration,low
3000000,6,23,10,5,Agile,Enterprise Software,medium
3000000,6,48,2,20,Waterfall,Cybersecurity,high
1000000,6,14,2,16,Waterfall,Data Analytics,low
1000000,6,15,5,11,Waterfall,Cybersecurity,medium
2000000,6,13,10,19,Spiral,AI/ML,medium
2000000,4,39,1,12,Agile,Enterprise Software,medium
5000000,4,42,4,5,Agile,Mobile App,medium
1000000,4,46,6,6,Waterfall,Enterprise Software,high
5000000,6,28,3,18,Waterfall,Data Analytics,high
4000000,4,46,4,9,Agile,DevOps,high
1000000,6,5,6,16,Waterfall,Cybersecurity,medium
4000000,6,47,9,15,Waterfall,Web Development,high
3000000,6,20,2,7,Prototyping,Web Development,low
5000000,4,33,5,11,Waterfall,Enterprise Software,high
3000000,4,41,3,11,Agile,AI/ML,high
2000000,6,24,5,10,Iterative,Cybersecurity,low
5000000,4,44,8,9,Waterfall,Mobile App,high
3000000,4,48,9,9,Waterfall,Web Development,high
4000000,4,9,5,1,V-Model,Cybersecurity,low
5000000,6,14,4,20,Iterative,Data Analytics,low
1000000,4,41,6,6,V-Model,Cloud Migration,high
1000000,4,35,4,9,Agile,Data Analytics,medium
2000000,6,31,4,8,Agile,Data Analytics,medium
5000000,4,35,1,3,Iterative,AI/ML,low
3000000,6,47,4,13,Iterative,Cloud Migration,high
1000000,6,20,5,7,Spiral,Web Development,medium
1000000,6,7,1,16,Iterative,AI/ML,low
1000000,6,8,5,14,Prototyping,Cloud Migration,low
1000000,4,32,10,4,Waterfall,Data Analytics,high
3000000,4,12,2,14,Agile,Cloud Migration,low
2000000,4,19,2,15,Agile,Data Analytics,low
3000000,4,39,4,1,Agile,Mobile App,high
5000000,6,48,6,13,Waterfall,Cloud Migration,high
2000000,4,10,1,2,Agile,Cloud Migration,low
1000000,6,24,4,15,Spiral,DevOps,medium
5000000,4,28,3,11,V-Model,Blockchain,medium
4000000,6,13,6,7,V-Model,Blockchain,low
3000000,6,30,2,12,Agile,Web Development,low
4000000,6,17,9,6,Waterfall,Blockchain,medium
3000000,6,42,1,20,Agile,Cloud Migration,medium
3000000,6,45,7,1,Waterfall,AI/ML,high
4000000,6,45,7,10,Iterative,Data Analytics,high
2000000,4,13,4,16,Iterative,Enterprise Software,low
3000000,6,15,7,10,Agile,Cybersecurity,low
5000000,6,30,6,1,Prototyping,Web Development,medium
2000000,4,15,4,2,Agile,Cybersecurity,low
2000000,6,31,6,18,Iterative,AI/ML,medium
5000000,6,13,9,10,Prototyping,IoT,low
5000000,4,20,5,5,Agile,IoT,low
3000000,6,32,6,1,V-Model,AI/ML,high
2000000,4,15,7,16,Agile,Mobile App,low
1000000,6,36,3,17,Agile,Web Development,low
5000000,6,6,3,16,V-Model,IoT,low
3000000,6,44,4,10,Spiral,IoT,high
5000000,4,26,8,14,Waterfall,DevOps,medium
4000000,6,21,1,11,Agile,Cybersecurity,low
4000000,6,26,4,7,Spiral,Enterprise Software,medium
2000000,6,45,8,6,Prototyping,Cloud Migration,high
4000000,4,12,3,19,Agile,Cybersecurity,low
5000000,6,11,10,13,Agile,IoT,low
4000000,4,47,3,13,Waterfall,IoT,high
1000000,6,47,2,19,Spiral,Web Development,high
5000000,4,8,2,10,Waterfall,Enterprise Software,low
4000000,4,25,2,2,Iterative,Cloud Migration,low
4000000,4,24,10,18,Agile,Web Development,high
3000000,6,19,4,19,Agile,Web Development,low
1000000,4,31,9,9,Agile,Mobile App,medium
3000000,4,32,1,11,Iterative,Data Analytics,medium
2000000,4,22,7,17,Prototyping,Mobile App,low
3000000,4,43,4,4,Agile,Web Development,high
3000000,6,33,2,7,Waterfall,Enterprise Software,high
4000000,4,10,2,4,Agile,IoT,low
2000000,6,14,7,5,Agile,Cloud Migration,low
1000000,6,37,7,11,Waterfall,Web Development,high
5000000,6,19,10,13,Agile,Web Development,low
1000000,4,44,9,17,Waterfall,Mobile App,high
5000000,4,43,7,2,Agile,Data Analytics,high
5000000,4,34,5,10,Iterative,Cybersecurity,high
1000000,6,25,10,16,Waterfall,Blockchain,high
2000000,4,48,1,10,Iterative,AI/ML,medium
5000000,4,46,3,7,V-Model,Web Development,high
1000000,6,24,7,5,V-Model,Web Development,high
5000000,6,22,10,16,Waterfall,DevOps,high
1000000,6,24,2,2,Agile,Data Analytics,low
3000000,4,30,9,13,Iterative,AI/ML,high
1000000,6,23,2,7,Iterative,Data Analytics,low
3000000,6,41,1,20,Spiral,DevOps,high
2000000,6,9,8,10,Agile,Mobile App,low
5000000,6,44,7,19,Agile,Data Analytics,medium
1000000,4,28,2,11,Agile,Mobile App,low
2000000,4,11,4,4,Agile,Data Analytics,low
1000000,6,11,10,14,Agile,IoT,low
2000000,6,27,5,16,Agile,Blockchain,medium
4000000,6,26,9,9,Agile,Data Analytics,high
3000000,4,12,9,6,Prototyping,IoT,medium
1000000,4,19,9,6,Iterative,Web Development,low
1000000,4,14,6,2,Spiral,Data Analytics,medium
4000000,6,21,1,8,Agile,IoT,low
3000000,4,6,6,8,Agile,Blockchain,low
1000000,4,28,10,14,Waterfall,Mobile App,high
1000000,4,46,2,15,Agile,Web Development,high
5000000,4,12,7,12,Agile,AI/ML,medium
3000000,6,41,7,1,Waterfall,Blockchain,high
4000000,6,46,10,18,Spiral,DevOps,high
5000000,6,35,4,20,Iterative,IoT,high
1000000,4,12,8,13,Prototyping,Cybersecurity,low
1000000,6,44,9,4,Iterative,DevOps,high
5000000,6,44,4,20,Spiral,Enterprise Software,high
2000000,4,18,2,10,Agile,Cloud Migration,low
1000000,4,27,5,4,Agile,Cloud Migration,high
4000000,4,37,10,3,Agile,DevOps,medium
5000000,6,33,1,7,Agile,Web Development,low
2000000,4,43,10,16,Waterfall,Enterprise Software,high
5000000,6,34,6,3,Waterfall,Mobile App,high
2000000,4,44,5,4,Iterative,Cybersecurity,high
5000000,6,31,10,17,Iterative,Blockchain,medium
1000000,4,34,7,3,Agile,Blockchain,medium
5000000,6,5,8,6,Waterfall,Cloud Migration,low
4000000,4,26,2,12,Waterfall,Mobile App,low
3000000,4,11,5,9,Iterative,AI/ML,low
2000000,4,13,3,5,V-Model,Cybersecurity,low
5000000,6,16,5,6,Agile,Mobile App,low
5000000,6,49,8,20,Agile,Mobile App,high
4000000,6,5,5,17,Iterative,Web Development,low
4000000,6,41,3,9,Iterative,Web Development,high
3000000,4,44,5,13,Agile,Cloud Migration,high
5000000,4,39,8,6,Iterative,IoT,high
4000000,4,7,10,8,Waterfall,Cybersecurity,medium
1000000,4,15,8,3,Agile,Data Analytics,medium
5000000,6,20,2,19,Waterfall,Web Development,low
4000000,6,31,1,7,Prototyping,Web Development,low
3000000,4,21,5,11,Iterative,Blockchain,low
1000000,4,43,9,2,Agile,Cybersecurity,high
5000000,4,16,10,16,Iterative,Cloud Migration,medium
4000000,6,6,8,20,Iterative,AI/ML,low
5000000,4,26,7,9,Agile,Enterprise Software,medium
3000000,6,11,8,9,Spiral,AI/ML,medium
5000000,4,49,9,11,Agile,Cybersecurity,high
3000000,6,20,6,1,Waterfall,Web Development,medium
1000000,4,9,8,10,Agile,Cybersecurity,low
4000000,6,40,4,6,Waterfall,Cloud Migration,high
5000000,6,36,5,8,Waterfall,DevOps,high
1000000,6,8,7,15,Agile,Enterprise Software,low
3000000,4,8,4,14,Agile,AI/ML,low
5000000,4,43,2,10,Prototyping,Mobile App,medium
1000000,6,13,5,18,Iterative,Data Analytics,low
4000000,6,11,9,19,Spiral,Data Analytics,medium
2000000,4,8,6,9,Waterfall,Web Development,low
1000000,6,13,8,13,Prototyping,Mobile App,low
3000000,4,18,1,13,Iterative,AI/ML,low
3000000,6,25,3,6,Iterative,Cybersecurity,low
2000000,4,36,1,1,Agile,Cybersecurity,medium
4000000,4,24,1,20,Iterative,Cybersecurity,low
3000000,6,29,8,8,Waterfall,IoT,high
3000000,4,38,5,16,Waterfall,DevOps,high
2000000,6,43,1,5,Agile,Blockchain,high
5000000,6,43,4,11,Spiral,Data Analytics,high
5000000,4,14,6,13,Agile,Blockchain,low
5000000,6,20,2,4,Waterfall,Blockchain,medium
3000000,6,8,3,6,Waterfall,AI/ML,low
1000000,6,6,5,4,Agile,Cloud Migration,low
4000000,6,38,4,9,Agile,Cloud Migration,medium
3000000,6,47,2,13,Agile,Cloud Migration,high
3000000,4,15,7,10,Agile,Cybersecurity,low
5000000,6,29,3,6,Waterfall,Mobile App,medium
5000000,6,12,8,16,Iterative,Web Development,low
1000000,6,39,9,8,Spiral,Web Development,high
4000000,4,12,4,18,Iterative,Data Analytics,low
1000000,6,42,10,7,Agile,Blockchain,high
4000000,4,48,5,5,Waterfall,AI/ML,high
5000000,4,17,8,19,Spiral,Data Analytics,high
3000000,4,41,4,18,Waterfall,Cybersecurity,high
3000000,4,32,7,7,Prototyping,Data Analytics,high
4000000,6,22,4,16,Spiral,DevOps,medium
3000000,6,45,5,7,Prototyping,Data Analytics,high
5000000,4,19,2,6,Spiral,Cloud Migration,low
2000000,4,8,8,16,Agile,Data Analytics,low
2000000,6,24,10,4,V-Model,Enterprise Software,medium
5000000,6,36,2,11,Agile,IoT,low
4000000,4,36,4,3,Waterfall,Cybersecurity,high
3000000,4,19,5,14,Iterative,AI/ML,low
1000000,6,6,8,17,Waterfall,DevOps,low
4000000,4,7,3,20,Agile,IoT,low
1000000,6,18,2,18,Agile,Cloud Migration,low
1000000,4,15,8,11,Agile,IoT,medium
4000000,6,11,5,11,Prototyping,Data Analytics,low
3000000,4,8,6,13,Spiral,Blockchain,low
5000000,6,20,10,13,Spiral,Web Development,medium
5000000,6,46,3,19,Iterative,Web Development,high
5000000,4,49,5,14,Agile,Cybersecurity,medium
2000000,6,28,9,8,Iterative,Web Development,medium
2000000,4,7,10,3,Spiral,Blockchain,low
5000000,6,33,2,16,V-Model,Mobile App,medium
1000000,4,27,3,18,V-Model,Mobile App,medium
1000000,6,25,10,10,Iterative,IoT,high
3000000,6,30,5,14,Iterative,DevOps,high
3000000,4,8,9,14,Agile,Enterprise Software,low
1000000,6,39,6,15,Waterfall,IoT,high
4000000,6,29,2,6,Waterfall,Blockchain,medium
4000000,6,16,5,9,Iterative,DevOps,low
3000000,4,47,9,1,Agile,Enterprise Software,high
1000000,4,15,4,9,Agile,Web Development,low
2000000,6,32,6,2,Waterfall,Data Analytics,medium
3000000,4,34,7,12,Waterfall,Mobile App,high
5000000,4,16,3,3,Agile,Cybersecurity,low
4000000,6,37,4,4,V-Model,AI/ML,high
2000000,6,40,8,5,Agile,Cybersecurity,high
3000000,4,32,10,13,Waterfall,Blockchain,high
4000000,4,28,9,1,Waterfall,IoT,high
5000000,6,35,3,15,V-Model,AI/ML,medium
3000000,4,38,7,2,Agile,Mobile App,high
1000000,4,46,1,7,Iterative,Web Development,medium
1000000,6,35,5,18,Waterfall,Web Development,medium
5000000,4,44,6,14,Waterfall,Mobile App,high
2000000,6,11,6,7,Waterfall,Cybersecurity,low
4000000,6,20,7,6,Agile,Web Development,medium
1000000,4,12,5,10,Spiral,Enterprise Software,low
3000000,6,39,4,20,Agile,Cybersecurity,high
1000000,6,44,6,14,Spiral,Web Development,high
3000000,6,36,3,18,Agile,Data Analytics,high
2000000,6,26,10,9,Waterfall,DevOps,high
1000000,6,47,5,11,Waterfall,Web Development,high
5000000,6,31,7,16,Agile,Cybersecurity,high
3000000,6,30,1,2,Agile,Cloud Migration,low
1000000,4,48,2,18,Agile,Web Development,high
1000000,6,9,5,17,Waterfall,AI/ML,low
5000000,4,37,3,9,V-Model,AI/ML,high
1000000,4,23,4,19,Spiral,Blockchain,medium
5000000,6,41,1,15,Iterative,Blockchain,medium
1000000,4,22,8,4,Spiral,AI/ML,medium
4000000,4,25,3,8,Waterfall,Data Analytics,medium
2000000,6,16,6,9,Agile,Cybersecurity,low
4000000,6,25,3,15,Iterative,Web Development,low
1000000,6,20,10,6,V-Model,Enterprise Software,medium
1000000,6,14,4,20,Iterative,DevOps,low
2000000,6,45,7,4,Prototyping,Web Development,high
2000000,4,37,9,7,Spiral,DevOps,high
5000000,4,32,9,13,Iterative,DevOps,medium
2000000,6,34,10,18,Spiral,Web Development,high
4000000,4,12,10,18,Spiral,IoT,low
1000000,6,11,9,7,Iterative,Enterprise Software,low
1000000,6,26,5,16,Iterative,Mobile App,medium
2000000,4,42,7,18,Prototyping,Web Development,high
1000000,4,28,3,19,Waterfall,DevOps,medium
5000000,4,34,8,10,Agile,DevOps,medium
5000000,6,38,8,4,Agile,DevOps,high
1000000,4,21,7,16,Waterfall,DevOps,low
5000000,6,48,8,15,Agile,IoT,high
1000000,6,14,3,4,Agile,Cybersecurity,low
5000000,4,14,8,16,Waterfall,Blockchain,medium
4000000,4,42,7,1,Agile,IoT,high
2000000,4,16,6,16,Spiral,AI/ML,medium
4000000,4,29,10,17,Spiral,Blockchain,high
1000000,6,20,4,16,Agile,DevOps,low
2000000,4,42,10,15,Iterative,Data Analytics,high
1000000,4,20,4,1,Agile,Enterprise Software,low
4000000,6,15,7,19,Waterfall,Web Development,low
1000000,6,39,6,10,Waterfall,Mobile App,high
1000000,4,45,6,13,Iterative,IoT,high
4000000,6,25,5,4,Spiral,Blockchain,medium
2000000,4,34,5,2,Waterfall,Enterprise Software,high
5000000,4,34,5,20,Agile,Blockchain,medium
5000000,4,36,4,9,Iterative,Data Analytics,medium
4000000,4,15,6,4,Agile,DevOps,low
3000000,4,27,9,16,Waterfall,IoT,high
4000000,4,42,8,19,Iterative,Blockchain,high
4000000,6,34,6,6,Waterfall,Data Analytics,high
1000000,6,37,2,19,Waterfall,Blockchain,high
5000000,4,14,10,14,Iterative,AI/ML,low
2000000,4,39,5,5,Waterfall,Mobile App,high
2000000,6,43,3,19,Iterative,Data Analytics,high
2000000,6,44,3,15,Waterfall,Cybersecurity,high
5000000,4,31,10,8,Agile,Cloud Migration,high
2000000,4,34,3,1,Waterfall,DevOps,high
1000000,4,48,6,16,Spiral,Data Analytics,high
4000000,4,11,10,1,Agile,Blockchain,low
5000000,4,28,10,7,Agile,Mobile App,medium
2000000,6,38,6,8,Iterative,Web Development,medium
5000000,4,36,3,5,Prototyping,Enterprise Software,medium
5000000,6,36,9,1,Waterfall,Data Analytics,high
4000000,4,8,9,14,Agile,Enterprise Software,low
5000000,4,8,9,9,Spiral,DevOps,medium
3000000,6,49,7,3,Iterative,IoT,high
3000000,6,18,8,19,Prototyping,Data Analytics,medium
3000000,6,39,4,4,Agile,Cloud Migration,medium
4000000,4,9,2,1,Agile,DevOps,low
2000000,4,22,9,2,Agile,Cloud Migration,low
3000000,6,49,8,13,Iterative,Data Analytics,high
1000000,6,23,7,13,Spiral,Enterprise Software,medium
4000000,4,31,8,7,V-Model,Enterprise Software,medium
2000000,4,31,9,9,Agile,IoT,high
5000000,6,8,2,13,Spiral,Cloud Migration,low
1000000,6,32,5,19,Agile,Cybersecurity,low
3000000,4,48,1,6,Agile,Data Analytics,medium
1000000,6,49,8,14,Agile,IoT,high
2000000,4,29,4,13,Iterative,Cybersecurity,medium
1000000,4,38,3,19,Agile,Enterprise Software,high
1000000,6,13,10,10,Agile,Mobile App,low
5000000,4,12,3,11,Agile,Mobile App,low
5000000,6,28,6,17,Waterfall,IoT,medium
3000000,6,39,3,11,Waterfall,Enterprise Software,medium
1000000,6,26,4,9,Spiral,Web Development,medium
2000000,4,41,6,10,Agile,Enterprise Software,medium
5000000,4,6,5,19,Spiral,Cloud Migration,low
2000000,4,46,8,12,Agile,Enterprise Software,high
2000000,6,17,8,4,Iterative,Data Analytics,medium
1000000,4,29,10,9,Iterative,Blockchain,medium
4000000,4,35,1,8,Spiral,Cybersecurity,medium
5000000,6,20,2,5,Spiral,Cybersecurity,low
4000000,6,22,1,1,Agile,Mobile App,low
3000000,6,40,7,14,Agile,IoT,high
1000000,4,7,7,16,V-Model,AI/ML,low
4000000,6,25,2,16,Iterative,Data Analytics,medium
2000000,4,27,4,18,Agile,Enterprise Software,low
5000000,6,28,4,17,Waterfall,AI/ML,medium
2000000,6,46,7,13,Agile,Blockchain,high
5000000,6,13,9,20,Iterative,Cybersecurity,low
3000000,6,29,4,4,Waterfall,Data Analytics,medium
3000000,6,28,1,7,Iterative,DevOps,low
4000000,6,36,8,5,Iterative,Web Development,high
2000000,6,44,5,14,Agile,Mobile App,high
1000000,4,24,9,13,Agile,Enterprise Software,high
4000000,4,49,9,10,V-Model,Cybersecurity,high
3000000,6,25,5,17,Agile,Web Development,low
5000000,4,11,3,15,Spiral,Enterprise Software,medium
5000000,4,34,2,11,Spiral,Web Development,medium
2000000,6,14,2,6,Iterative,Cybersecurity,low
2000000,4,9,9,15,Agile,DevOps,low
5000000,6,48,7,20,Waterfall,DevOps,high
2000000,6,24,10,3,Agile,Data Analytics,medium
5000000,4,21,4,6,Spiral,Cybersecurity,medium
3000000,6,7,1,1,Iterative,Mobile App,low
3000000,6,43,9,12,Waterfall,Cloud Migration,high
2000000,6,6,6,6,Spiral,DevOps,low
2000000,4,31,3,7,Iterative,AI/ML,medium
5000000,4,12,7,12,Waterfall,Cloud Migration,low
5000000,6,27,1,3,Waterfall,Blockchain,medium
3000000,4,20,10,10,Agile,Mobile App,medium
3000000,4,18,1,11,Agile,Blockchain,low
2000000,6,15,4,16,Agile,Web Development,low
3000000,6,26,4,6,Iterative,IoT,medium
1000000,6,33,7,10,Spiral,IoT,high
4000000,6,45,8,20,Spiral,Enterprise Software,high
1000000,4,30,10,17,Agile,AI/ML,medium
2000000,6,9,8,10,Spiral,Web Development,low
4000000,6,22,5,13,Agile,Enterprise Software,low
3000000,4,27,8,4,Agile,AI/ML,medium
4000000,6,15,5,10,Agile,Blockchain,low
2000000,4,31,8,18,Spiral,Blockchain,high
4000000,4,28,5,15,Agile,AI/ML,low
2000000,6,19,7,12,Iterative,Data Analytics,low
4000000,6,28,6,12,Agile,Cybersecurity,medium
5000000,4,33,3,12,V-Model,Blockchain,medium
4000000,6,42,7,15,Prototyping,Cybersecurity,high
2000000,6,24,2,9,Waterfall,DevOps,medium
2000000,4,19,10,1,Agile,Blockchain,medium
5000000,6,22,3,9,Iterative,IoT,medium
5000000,4,21,4,4,Agile,Cybersecurity,low
1000000,6,7,4,10,Spiral,Enterprise Software,low
1000000,4,5,5,1,Agile,Data Analytics,low
2000000,4,34,4,5,Agile,Cloud Migration,medium
3000000,4,7,1,6,Waterfall,DevOps,low
2000000,4,41,7,19,Waterfall,Data Analytics,high
3000000,4,45,7,6,Iterative,DevOps,high
2000000,6,43,3,12,Agile,Cloud Migration,high
5000000,4,19,7,12,V-Model,Data Analytics,medium
5000000,4,7,5,12,V-Model,DevOps,low
4000000,4,23,10,7,Iterative,Web Development,medium
3000000,6,29,4,4,Agile,Cybersecurity,low
3000000,4,36,8,5,V-Model,AI/ML,high
2000000,6,17,4,4,Agile,Data Analytics,low
5000000,4,37,10,20,Iterative,IoT,high
2000000,4,20,4,8,Waterfall,AI/ML,medium
3000000,6,36,3,1,Agile,Blockchain,medium
2000000,4,17,10,6,Agile,DevOps,low
2000000,6,44,5,12,Iterative,Mobile App,high
5000000,6,33,4,7,Agile,Blockchain,low
5000000,6,48,2,6,Spiral,Blockchain,high
3000000,6,10,9,2,Agile,Web Development,low
3000000,4,15,8,4,Iterative,Cybersecurity,medium
5000000,6,49,10,3,V-Model,DevOps,high
5000000,4,45,3,9,Iterative,DevOps,medium
2000000,4,40,3,13,Iterative,Cloud Migration,medium
3000000,4,43,2,16,Agile,Blockchain,medium
2000000,6,22,1,16,Iterative,Mobile App,low
5000000,6,15,5,16,Agile,Cloud Migration,low
3000000,4,31,7,4,Agile,Enterprise Software,medium
5000000,4,37,8,4,Agile,IoT,medium
5000000,6,47,7,7,Agile,Data Analytics,high
3000000,6,36,9,7,Spiral,DevOps,high
4000000,6,48,7,10,Waterfall,Mobile App,high
4000000,4,41,5,1,Waterfall,AI/ML,high
1000000,4,15,4,20,Spiral,Blockchain,low
3000000,6,34,9,6,Prototyping,Web Development,low
3000000,6,48,3,3,Iterative,Blockchain,high
1000000,6,14,6,20,Waterfall,DevOps,low
2000000,4,13,10,11,Spiral,Cybersecurity,medium
2000000,4,9,9,10,V-Model,DevOps,medium
5000000,6,25,9,7,V-Model,Mobile App,high
3000000,4,47,3,11,Agile,AI/ML,high
1000000,4,24,6,12,Iterative,Data Analytics,low
2000000,6,40,1,12,Waterfall,Cybersecurity,high
4000000,6,37,3,19,Agile,DevOps,medium
4000000,4,36,1,13,Agile,Blockchain,medium
2000000,6,46,9,4,Spiral,Data Analytics,high
2000000,4,21,7,1,Agile,Blockchain,high
4000000,6,7,4,9,Iterative,Enterprise Software,low
4000000,6,6,8,10,Agile,Data Analytics,medium
3000000,6,20,3,19,Prototyping,Blockchain,low
2000000,4,33,8,18,Agile,IoT,high
4000000,4,12,8,17,Waterfall,Mobile App,medium
4000000,6,29,9,1,Iterative,DevOps,high
5000000,6,28,2,5,Agile,IoT,low
5000000,4,27,2,6,Iterative,AI/ML,low
3000000,6,40,7,11,Iterative,Enterprise Software,high
4000000,6,28,7,3,Iterative,Cybersecurity,medium
2000000,4,45,1,10,Iterative,DevOps,medium
2000000,6,15,7,20,V-Model,Mobile App,medium
2000000,6,41,1,16,Agile,DevOps,medium
1000000,6,22,1,7,Agile,DevOps,low
4000000,4,40,1,7,Waterfall,Enterprise Software,high
3000000,6,44,4,2,Agile,Cybersecurity,high
4000000,6,20,7,13,Waterfall,Cloud Migration,medium
5000000,4,8,9,17,Iterative,IoT,low
3000000,4,43,5,4,V-Model,Cybersecurity,high
2000000,4,43,2,11,Spiral,Enterprise Software,high
3000000,4,21,1,9,Agile,DevOps,low
1000000,4,39,9,11,Waterfall,Cloud Migration,high
1000000,4,13,4,8,Iterative,AI/ML,low
4000000,6,33,6,1,Iterative,Enterprise Software,medium
5000000,4,9,4,11,Spiral,Data Analytics,low
2000000,4,37,7,15,Agile,Cybersecurity,high
5000000,4,20,1,16,Spiral,Cloud Migration,medium
2000000,6,20,3,6,Agile,Web Development,low
5000000,4,35,5,8,Iterative,Cloud Migration,medium
5000000,6,48,8,18,Agile,IoT,high
4000000,4,17,6,13,Prototyping,Data Analytics,low
4000000,6,36,10,8,Waterfall,Mobile App,high
4000000,6,43,10,9,Waterfall,IoT,high
1000000,6,18,7,10,Agile,DevOps,medium
2000000,4,15,5,3,Agile,Data Analytics,low
2000000,6,5,8,9,Waterfall,DevOps,low
5000000,4,6,5,1,Iterative,DevOps,low
1000000,4,45,10,5,Iterative,IoT,high
2000000,6,30,3,7,Waterfall,Data Analytics,medium
1000000,6,30,1,11,Agile,DevOps,medium
2000000,4,35,6,14,Spiral,Web Development,high
1000000,4,44,8,19,Waterfall,Enterprise Software,high
3000000,6,34,3,2,Spiral,Blockchain,high
1000000,6,18,10,17,Spiral,DevOps,medium
4000000,6,5,5,15,Agile,IoT,low
2000000,4,10,8,16,Waterfall,Cybersecurity,medium
1000000,4,34,5,12,Iterative,DevOps,medium
5000000,4,25,2,3,Prototyping,AI/ML,low
4000000,6,28,4,12,V-Model,AI/ML,high
1000000,6,26,9,6,Waterfall,Cybersecurity,high
5000000,4,47,2,2,Agile,Data Analytics,high
4000000,6,37,7,7,Waterfall,IoT,high
4000000,6,29,1,1,Agile,Mobile App,low
1000000,6,45,9,17,Agile,AI/ML,high
4000000,4,37,1,4,Waterfall,Data Analytics,high
1000000,6,20,5,11,Spiral,Mobile App,low
5000000,4,26,10,1,Iterative,IoT,medium
2000000,4,39,1,5,Agile,IoT,medium
2000000,6,27,6,17,Agile,Enterprise Software,medium
5000000,4,21,8,9,Agile,Cybersecurity,medium
1000000,4,12,8,13,Waterfall,Blockchain,medium
5000000,6,44,1,3,Agile,Enterprise Software,medium
5000000,6,22,7,11,Agile,AI/ML,medium
4000000,4,40,9,2,Agile,Data Analytics,high
1000000,6,41,6,1,Agile,Mobile App,high
3000000,4,9,8,5,Waterfall,Cybersecurity,medium
5000000,4,45,6,10,Agile,Web Development,high
5000000,4,17,4,17,Iterative,Mobile App,medium
4000000,4,23,5,5,Agile,Cybersecurity,medium
4000000,6,10,7,17,Spiral,Data Analytics,low
2000000,6,33,8,13,Agile,Cloud Migration,high
1000000,6,28,2,19,Waterfall,Web Development,medium
5000000,4,35,9,7,Iterative,Mobile App,high
2000000,4,6,8,17,Agile,AI/ML,low
3000000,4,22,9,19,Iterative,Data Analytics,medium
2000000,6,42,8,16,Iterative,Blockchain,high
5000000,6,49,5,1,Waterfall,Web Development,high
2000000,4,34,10,10,Prototyping,DevOps,medium
2000000,4,19,2,4,Prototyping,Cybersecurity,low
2000000,4,36,1,13,Waterfall,IoT,high
1000000,4,40,9,6,Waterfall,Cloud Migration,high
1000000,6,38,1,12,Iterative,Web Development,high
5000000,6,13,6,11,Agile,AI/ML,low
5000000,6,26,2,7,Waterfall,Web Development,medium
5000000,4,43,10,10,Waterfall,Cloud Migration,high
5000000,6,17,10,14,Spiral,Web Development,low
